location,subject,time,value_new
OECD,EMPLOYEE,2012,13
ITA,SELFEMPLOYED,2012,5
CHE,EMPLOYEE,2012,19
POL,SELFEMPLOYED,2012,6
GBR,EMPLOYEE,2012,17
SWE,EMPLOYEE,2012,9
CHE,SELFEMPLOYED,2012,5
SVN,SELFEMPLOYED,2013,30
LTU,SELFEMPLOYED,2013,14
LVA,SELFEMPLOYED,2013,20
FIN,EMPLOYEE,2013,20
CHE,SELFEMPLOYED,2013,4
DNK,EMPLOYEE,2013,6
SWE,SELFEMPLOYED,2013,18
DNK,SELFEMPLOYED,2013,-8
GRC,SELFEMPLOYED,2013,36
FRA,SELFEMPLOYED,2013,24
EU27,EMPLOYEE,2013,12
AUT,SELFEMPLOYED,2013,4
AUS,EMPLOYEE,2013,18
BRA,EMPLOYEE,2013,16
GBR,EMPLOYEE,2013,17
SWE,EMPLOYEE,2013,9
DEU,EMPLOYEE,2013,14
GBR,SELFEMPLOYED,2013,32
FIN,SELFEMPLOYED,2013,30
CZE,SELFEMPLOYED,2013,29
CZE,EMPLOYEE,2013,15
SVK,EMPLOYEE,2013,14
USA,SELFEMPLOYED,2013,4
ISL,SELFEMPLOYED,2013,25
USA,EMPLOYEE,2013,17
SVK,SELFEMPLOYED,2013,35
BEL,SELFEMPLOYED,2013,32
IRL,SELFEMPLOYED,2013,33
AUT,EMPLOYEE,2013,18
MEX,EMPLOYEE,2013,15
ITA,SELFEMPLOYED,2013,5
NOR,EMPLOYEE,2013,6
PRT,SELFEMPLOYED,2013,4
LUX,SELFEMPLOYED,2013,11
CAN,SELFEMPLOYED,2013,40
JPN,EMPLOYEE,2013,26
KOR,EMPLOYEE,2013,36
EST,SELFEMPLOYED,2013,-2
OECD,EMPLOYEE,2013,13
POL,SELFEMPLOYED,2013,6
ISR,EMPLOYEE,2013,20
NOR,SELFEMPLOYED,2013,18
BEL,EMPLOYEE,2013,5
CHL,EMPLOYEE,2013,10
COL,EMPLOYEE,2013,7
NZL,EMPLOYEE,2013,6
HUN,SELFEMPLOYED,2013,21
NZL,SELFEMPLOYED,2013,32
HUN,EMPLOYEE,2013,8
NLD,SELFEMPLOYED,2013,22
ESP,SELFEMPLOYED,2013,24
CAN,EMPLOYEE,2013,19
NLD,SELFEMPLOYED,2014,24
LUX,SELFEMPLOYED,2014,4
NZL,EMPLOYEE,2014,6
TUR,EMPLOYEE,2014,6
CZE,SELFEMPLOYED,2014,29
SVN,EMPLOYEE,2014,4
KOR,EMPLOYEE,2014,36
CHE,EMPLOYEE,2014,16
NZL,SELFEMPLOYED,2014,36
SVN,SELFEMPLOYED,2014,30
POL,SELFEMPLOYED,2014,5
CYP,EMPLOYEE,2014,13
NOR,EMPLOYEE,2014,5
LTU,EMPLOYEE,2014,12
CZE,EMPLOYEE,2014,16
BRA,EMPLOYEE,2014,16
AUS,EMPLOYEE,2014,15
NOR,SELFEMPLOYED,2014,14
DNK,EMPLOYEE,2014,6
ROU,EMPLOYEE,2014,15
COL,EMPLOYEE,2014,9
USA,EMPLOYEE,2014,17
NLD,EMPLOYEE,2014,15
MEX,EMPLOYEE,2014,18
GBR,SELFEMPLOYED,2014,32
BGR,EMPLOYEE,2014,40
DNK,SELFEMPLOYED,2014,5
LUX,EMPLOYEE,2014,34
FIN,SELFEMPLOYED,2014,25
MLT,EMPLOYEE,2014,8
DEU,SELFEMPLOYED,2014,37
CRI,EMPLOYEE,2014,5
FIN,EMPLOYEE,2014,19
BEL,SELFEMPLOYED,2014,31
SVK,SELFEMPLOYED,2014,31
BEL,EMPLOYEE,2014,32
ISL,SELFEMPLOYED,2014,16
DEU,EMPLOYEE,2014,17
LVA,EMPLOYEE,2014,21
AUT,SELFEMPLOYED,2014,4
EU27,EMPLOYEE,2014,10
ISR,EMPLOYEE,2014,20
FRA,EMPLOYEE,2014,9
SVK,EMPLOYEE,2014,14
SWE,SELFEMPLOYED,2014,16
CAN,EMPLOYEE,2014,19
HUN,SELFEMPLOYED,2014,18
GRC,SELFEMPLOYED,2014,34
LVA,SELFEMPLOYED,2014,18
GRC,EMPLOYEE,2014,7
ESP,SELFEMPLOYED,2014,28
USA,SELFEMPLOYED,2014,4
HUN,EMPLOYEE,2014,37
IRL,SELFEMPLOYED,2014,36
ISL,EMPLOYEE,2014,13
PRT,EMPLOYEE,2014,15
OECD,EMPLOYEE,2014,13
ESP,EMPLOYEE,2014,11
LTU,SELFEMPLOYED,2014,9
EST,SELFEMPLOYED,2014,-2
CHE,SELFEMPLOYED,2014,42
JPN,EMPLOYEE,2014,25
POL,EMPLOYEE,2014,11
IRL,EMPLOYEE,2014,10
CAN,SELFEMPLOYED,2014,39
PRT,SELFEMPLOYED,2014,40
ITA,EMPLOYEE,2014,6
ITA,SELFEMPLOYED,2014,5
AUT,EMPLOYEE,2014,17
GBR,EMPLOYEE,2014,17
FRA,SELFEMPLOYED,2014,23
SWE,EMPLOYEE,2014,9
EST,EMPLOYEE,2014,28
EU27,EMPLOYEE,2015,12
SVN,SELFEMPLOYED,2015,32
USA,SELFEMPLOYED,2015,4
COL,EMPLOYEE,2015,11
LTU,SELFEMPLOYED,2015,15
DEU,SELFEMPLOYED,2015,34
CRI,EMPLOYEE,2015,37
